feat,side,mode,n,y3,mkt,res,lo,hi,res_ex,n_ex,roi_lin,roi_mul,abs_res
f_course_fit_score,最下位,事前指定,3271,21.339040048914704,22.01437279706124,-0.6753327481465371,-2.079383671927328,0.7287181756342539,-0.42603256172905335,1338,68.44966944630396,67.75568457795244,0.6753327481465371
f_course_fit_score,最大残差(q8),データ選択,1705,23.636363636363637,22.946902244500016,0.6894613918636189,-1.327174588704564,2.706097372431802,0.5221520042483468,2900,74.93244161135219,72.00021164415855,0.6894613918636189
f_course_fit_score,最小残差(q1),データ選択,2088,20.545977011494255,21.46402101484494,-0.9180440033506848,-2.6510982983156555,0.8150102916142857,-0.3257809979995807,2517,67.29679098408425,66.91028638623534,0.9180440033506848
f_pl_rating,最上位,事前指定,2353,27.58181045473863,24.348914295930896,3.232896158807735,1.4270517693598188,5.038740548255651,2.3478100030752627,2256,87.01375675433675,79.18088368763226,3.232896158807735
f_pl_rating,最下位,事前指定,2163,14.979195561719832,17.76470216119954,-2.7855065994797092,-4.289460976288999,-1.2815522226704197,-2.397736696688546,2446,58.42634365247139,58.93967488242515,2.7855065994797092
f_pl_rating,最大残差(q9),データ選択,2353,27.58181045473863,24.348914295930896,3.232896158807735,1.4270517693598188,5.038740548255651,2.3478100030752627,2256,87.01375675433675,79.18088368763226,3.232896158807735
f_pl_rating,最小残差(q0),データ選択,2163,14.979195561719832,17.76470216119954,-2.7855065994797092,-4.289460976288999,-1.2815522226704197,-2.397736696688546,2446,58.42634365247139,58.93967488242515,2.7855065994797092
f_pl_rating_n,最上位,事前指定,2953,19.776498476125973,20.669122120200758,-0.8926236440747859,-2.3292699312817158,0.5440226431321442,-1.3111393577037695,1656,67.41753769064478,66.88127514279637,0.8926236440747859
f_pl_rating_n,最下位,事前指定,1818,21.067106710671066,22.33939886713455,-1.272292156463481,-3.1468143668290063,0.602230053902044,-1.1967532263752716,2791,65.61411225679848,65.91899664956362,1.272292156463481
f_pl_rating_n,最大残差(q5),データ選択,2587,22.149207576343255,21.03108454540278,1.118123030940474,-0.4820556217565577,2.7183016836375056,0.5450408177254618,2017,76.96858439696726,73.61625151779555,1.118123030940474
f_pl_rating_n,最小残差(q1),データ選択,1748,17.73455377574371,21.027986010351146,-3.293432234607438,-5.084055483137854,-1.5028089860770217,-0.6720776284747904,2857,56.01369688561468,58.95216538161396,3.293432234607438
rl_f_speed_avg_rank,最上位,事前指定,2528,18.275316455696203,19.21733044091646,-0.942013985220258,-2.4485399230390996,0.5645119525985836,-1.4008590757305373,2081,67.18293357020379,66.47357312092117,0.942013985220258
rl_f_speed_avg_rank,最下位,事前指定,1758,19.852104664391355,20.30982640675017,-0.45772174235881313,-2.322365945151751,1.4069224604341246,-1.5459411025989995,2851,69.48332172379564,68.3246665062461,0.45772174235881313
rl_f_speed_avg_rank,最大残差(q4),データ選択,2473,21.957137080469067,21.155647307484625,0.8014897729844428,-0.8300530084653273,2.433032554434213,-0.18194321566748495,2134,75.46457642167611,72.54818817960687,0.8014897729844428
rl_f_speed_avg_rank,最小残差(q8),データ選択,2134,21.836925960637302,23.865678456550008,-2.0287524959127055,-3.7816455907514808,-0.2758594010739299,-0.06992498561653737,2471,62.02092564441465,63.95800259471032,2.0287524959127055
rl_f_speed_avg_vs_field,最上位,事前指定,2209,20.32593933906745,21.075601783580662,-0.7496624445132105,-2.427855818210207,0.9285309291837858,-0.37244920396855563,2400,68.09660338856226,67.41364609136343,0.7496624445132105
rl_f_speed_avg_vs_field,最下位,事前指定,2196,19.854280510018217,21.36313083014399,-1.5088503201257764,-3.177277077532822,0.15957643728126936,-1.5825289142070513,2413,64.49046097940257,64.96305334104062,1.5088503201257764
rl_f_speed_avg_vs_field,最大残差(q6),データ選択,2351,23.01148447469162,21.821105407834622,1.1903790668570002,-0.5110547001667576,2.891812833880758,0.6294188342170465,2255,77.31180056757076,73.71316597936554,1.1903790668570002
rl_f_speed_avg_vs_field,最小残差(q3),データ選択,2088,19.588122605363985,21.348259890122065,-1.7601372847580814,-3.4624813143781727,-0.05779325513798983,0.6295151229592899,2518,63.29684789739912,64.13683256444156,1.7601372847580814
rl_f_speed_last_rank,最上位,事前指定,2407,19.567926879933527,20.860807734275923,-1.2928808543423957,-2.8777925345058986,0.2920308258211073,-0.699708919818906,2202,65.51631594187363,65.56783928648916,1.2928808543423957
rl_f_speed_last_rank,最下位,事前指定,1795,21.72701949860724,22.167239785332047,-0.4402202867248045,-2.348007165997039,1.4675665925474304,-0.2342499217842159,2814,69.56645363805718,68.51185252020304,0.4402202867248045
rl_f_speed_last_rank,最大残差(q4),データ選択,2173,23.055683387022547,21.75396444372498,1.3017189432975722,-0.46921956406301546,3.07265745065816,-0.4000228777567144,2434,77.84066498066348,74.08269296945306,1.3017189432975722
rl_f_speed_last_rank,最小残差(q1),データ選択,2181,20.541036221916553,22.623020045125926,-2.081983823209374,-3.7775348388756984,-0.38643280754304987,-1.179270190315476,2424,61.76807683975548,63.46714227578606,2.081983823209374
rl_f_speed_last_vs_field,最上位,事前指定,2232,18.63799283154122,21.19925070491437,-2.561257873373149,-4.176804040834716,-0.945711705911582,-1.154472682991492,2377,59.49152510147755,61.454799372824986,2.561257873373149
rl_f_speed_last_vs_field,最下位,事前指定,2316,20.03454231433506,21.787672133555805,-1.7531298192207445,-3.3832803894193217,-0.12297924902216706,0.2280972816942256,2293,63.33013335870147,64.2755453261665,1.7531298192207445
rl_f_speed_last_vs_field,最大残差(q8),データ選択,2302,22.06776715899218,21.39911552545137,0.6686516335408066,-1.0254566574753958,2.3627599245570092,0.6012303667129265,2303,74.83359525931884,72.08414397216153,0.6686516335408066
rl_f_speed_last_vs_field,最小残差(q9),データ選択,2232,18.63799283154122,21.19925070491437,-2.561257873373149,-4.176804040834716,-0.945711705911582,-1.154472682991492,2377,59.49152510147755,61.454799372824986,2.561257873373149
rl_f_recent_rank,最上位,事前指定,2440,17.663934426229506,20.05865136002966,-2.3947169338001535,-3.9079294865759593,-0.8815043810243475,-1.3235397471756671,2169,60.282594564449276,61.554936781732714,2.3947169338001535
rl_f_recent_rank,最下位,事前指定,1415,17.73851590106007,16.925640030731838,0.8128758703282307,-1.1774984621630828,2.803250202819544,1.4378935781952984,3194,75.5186603840591,73.25703838866805,0.8128758703282307
rl_f_recent_rank,最大残差(q2),データ選択,2605,24.760076775431862,23.417667214783815,1.3424095606480446,-0.3150859962329182,2.9999051175290075,0.639644226612418,1999,78.03394541307821,73.90699298647732,1.3424095606480446
rl_f_recent_rank,最小残差(q9),データ選択,2440,17.663934426229506,20.05865136002966,-2.3947169338001535,-3.9079294865759593,-0.8815043810243475,-1.3235397471756671,2169,60.282594564449276,61.554936781732714,2.3947169338001535
rl_f_recent_vs_field,最上位,事前指定,2161,25.21980564553448,23.921362376692436,1.2984432688420395,-0.5325757290715893,3.1294622667556684,3.0261742876654285,2448,77.82510552699969,73.6941478024049,1.2984432688420395
rl_f_recent_vs_field,最下位,事前指定,2192,16.286496350364963,19.304151883807492,-3.017655533442529,-4.563434483765925,-1.4718765831191325,-1.9941581128184476,2417,57.323636216147996,58.97312152032091,3.017655533442529
rl_f_recent_vs_field,最大残差(q7),データ選択,2076,25.385356454720615,23.443470651684297,1.9418858030363166,0.06971243053823928,3.814059175534394,0.11248475787367651,2528,80.8814575644225,75.69000522785164,1.9418858030363166
rl_f_recent_vs_field,最小残差(q0),データ選択,2192,16.286496350364963,19.304151883807492,-3.017655533442529,-4.563434483765925,-1.4718765831191325,-1.9941581128184476,2417,57.323636216147996,58.97312152032091,3.017655533442529
rl_f_recent_fukusho_rank,最上位,事前指定,2549,18.517065515888582,19.599526391563803,-1.08246087567522,-2.590423459359024,0.42550170800858367,-1.2857536447053701,2060,66.51581084054271,66.03949777672864,1.08246087567522
rl_f_recent_fukusho_rank,最下位,事前指定,1459,15.764222069910899,16.613187032932185,-0.848964963021287,-2.7188417618016363,1.020911835759062,1.411075804286821,3150,67.62491642564889,66.32797912299709,0.848964963021287
rl_f_recent_fukusho_rank,最大残差(q3),データ選択,2428,22.61120263591433,21.642125362445398,0.9690772734689324,-0.6948433706391572,2.632997917577022,-1.0841960614800943,2178,76.26061704897744,73.02993757688061,0.9690772734689324
rl_f_recent_fukusho_rank,最小残差(q4),データ選択,2400,19.875,21.008636550964425,-1.133636550964423,-2.7302068301096916,0.46293372818084544,0.6622400676589618,2207,66.27272638291899,66.1281609889255,1.133636550964423
rl_f_recent_fukusho_vs_field,最上位,事前指定,2254,23.735581188997337,23.622374536085328,0.1132066529120096,-1.6432605021565139,1.8696738079805328,1.4561330351943873,2355,72.19523160133205,70.23498516529155,0.1132066529120096
rl_f_recent_fukusho_vs_field,最下位,事前指定,2129,18.74119304837952,20.21304287751885,-1.4718498291393267,-3.129535099930991,0.18583544165233756,-0.8140739007354431,2480,64.66621331158821,64.810103160605,1.4718498291393267
rl_f_recent_fukusho_vs_field,最大残差(q2),データ選択,2310,20.82251082251082,20.17099111859702,0.6515197039138027,-1.0043169517354564,2.307356359563062,-0.2994658926516791,2294,74.75221859359057,72.15775853233048,0.6515197039138027
rl_f_recent_fukusho_vs_field,最小残差(q0),データ選択,2129,18.74119304837952,20.21304287751885,-1.4718498291393267,-3.129535099930991,0.18583544165233756,-0.8140739007354431,2480,64.66621331158821,64.810103160605,1.4718498291393267
rl_f_late_speed_rank,最上位,事前指定,2475,18.98989898989899,19.67156348116816,-0.6816644912691711,-2.226916738669228,0.8635877561308861,-0.6750513053865537,2134,68.41959366647144,67.47780575065478,0.6816644912691711
rl_f_late_speed_rank,最下位,事前指定,1910,20.26178010471204,20.748266847042135,-0.4864867423300917,-2.289136915680663,1.3161634310204797,0.20450428647662,2699,69.34668797393206,68.26104752558061,0.4864867423300917
rl_f_late_speed_rank,最大残差(q3),データ選択,2348,22.487223168654175,21.59808322627603,0.8891399423781421,-0.7995953814430139,2.577875266199298,0.49369413633855164,2258,75.88091472629618,72.77761100469417,0.8891399423781421
rl_f_late_speed_rank,最小残差(q2),データ選択,2171,21.971441731920773,23.002542751812964,-1.0311010198921915,-2.772836620094829,0.7106345803104461,-0.251944720020425,2433,66.7597701555121,66.76669590974748,1.0311010198921915
rl_f_late_speed_vs_field,最上位,事前指定,2323,20.361601377529055,21.62078420216611,-1.2591828246370533,-2.896748366607471,0.37838271733336426,-0.4793384360849501,2286,65.676381582974,65.82906165571404,1.2591828246370533
rl_f_late_speed_vs_field,最下位,事前指定,2265,20.353200883002206,21.14804912277746,-0.7948482397752532,-2.4529931842447894,0.863296704694283,-0.03175807004947295,2344,67.88197086106756,67.2728124217165,0.7948482397752532
rl_f_late_speed_vs_field,最大残差(q5),データ選択,2154,24.512534818941504,23.25099939807534,1.261535420866164,-0.5550873548574178,3.0781581965897455,0.42918598284178155,2450,77.64979324911428,73.69258217717059,1.261535420866164
