drop,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
クラス適性,W2,2026,125,0.7813793734588185,0.8012019810070339,0.4363892376422882,0.015601446938978627,0.1400095671415329,526
クラス適性,W3,42,125,0.8028728650666415,0.7972294182898844,0.4180212914943695,0.010973657833433273,0.13278236985206604,1297
クラス適性,W3,2026,125,0.8035358647438692,0.7972842275077279,0.41556262969970703,0.008646470929161962,0.13234801590442657,1105
クラス適性,W3,7,125,0.8024777931830165,0.7975657916754983,0.41793227195739746,0.01393498085683973,0.13292787969112396,1400
実力レーティング,W1,42,126,0.7683604551663582,0.7884528469103901,0.4564054310321808,0.01814171726640263,0.14778916537761688,1367
実力レーティング,W1,7,126,0.7683462049225771,0.7867090603500012,0.4557822644710541,0.01619418514761028,0.1477542221546173,851
実力レーティング,W2,42,126,0.7784267964199666,0.7982642183663942,0.44119662046432495,0.016208899058280306,0.14061573147773743,646
実力レーティング,W1,2026,126,0.7685027201001046,0.7871756332716446,0.45614591240882874,0.014030536324741048,0.14781026542186737,1313
実力レーティング,W2,7,126,0.7787210589881124,0.7990189571942825,0.4415190815925598,0.017374036142968625,0.1407153606414795,749
実力レーティング,W2,2026,126,0.7791466422725106,0.7989683588631331,0.43994712829589844,0.01691793164105539,0.14068949222564697,667
実力レーティング,W3,42,126,0.80440741697386,0.8005761758396117,0.413699209690094,0.011344497473736915,0.13215306401252747,1115
実力レーティング,W3,7,126,0.8035982922059242,0.7993109559746169,0.4159415066242218,0.012026249501108548,0.13221855461597443,980
騎手,W1,42,127,0.7687942733020325,0.7860076717773337,0.4574597477912903,0.013298627421318574,0.14714495837688446,683
実力レーティング,W3,2026,126,0.8034721019350319,0.7988392571750359,0.4170345366001129,0.01664537364034153,0.1329321712255478,1982
騎手,W1,7,127,0.7694065248473358,0.7870428485891011,0.4564661979675293,0.013402577567046407,0.1467100828886032,1370
騎手,W2,42,127,0.7779416444962205,0.7945281787989698,0.43919888138771057,0.020998825427197693,0.1410491168498993,1026
騎手,W1,2026,127,0.7700316355411937,0.787472041305806,0.45492205023765564,0.011656964879665156,0.14685367047786713,1440
騎手,W2,7,127,0.7780521324642852,0.7942765991896735,0.4386254549026489,0.019184219989469863,0.14109830558300018,794
騎手,W2,2026,127,0.7777031374304776,0.7950901732863405,0.4394201934337616,0.016135409756826032,0.14114047586917877,903
騎手,W3,7,127,0.7981824594951168,0.7879290700815882,0.41906264424324036,0.011083463946380236,0.13369335234165192,1416
騎手,W3,42,127,0.7989416995225563,0.7882940606694387,0.41737908124923706,0.011016497145482248,0.1335473358631134,1969
騎手,W3,2026,127,0.7984607839172361,0.7885850830650674,0.4189554452896118,0.007908641400551633,0.13373716175556183,1586
馬場適性,W1,42,127,0.7698064477603027,0.7874355956059909,0.4567408859729767,0.017886291279228986,0.14769569039344788,1143
馬場適性,W2,42,127,0.7820929880875742,0.8017687999864443,0.4397123157978058,0.013997785691895578,0.14026860892772675,575
馬場適性,W1,7,127,0.7692380666083537,0.7877540069880594,0.454860121011734,0.015554395564509325,0.1473848521709442,1160
馬場適性,W1,2026,127,0.7705448139630674,0.7887743166728627,0.454209566116333,0.015203738331015525,0.1472850888967514,1414
馬場適性,W2,7,127,0.7803496404769882,0.7993757342641543,0.43768057227134705,0.01649829837933088,0.14039890468120575,747
馬場適性,W2,2026,127,0.7830964011241501,0.802192766933261,0.43667539954185486,0.015773399157327117,0.13974615931510925,526
馬場適性,W3,7,127,0.8034504502407821,0.7989696109564111,0.4182475209236145,0.01651106809635706,0.13272984325885773,892
馬場適性,W3,42,127,0.8032154768981191,0.7985656961231452,0.41694146394729614,0.01147021431773726,0.13290028274059296,1518
馬場適性,W3,2026,127,0.803612170274265,0.7990667396809523,0.4165152609348297,0.01013253459257155,0.13259033858776093,1143
厩舎,W1,42,128,0.7689326024541634,0.7869943392776922,0.45471516251564026,0.013638184849568557,0.1472531408071518,1567
厩舎,W1,7,128,0.768797530500611,0.7876323514119863,0.4561813473701477,0.011138311273980461,0.14786849915981293,1288
厩舎,W2,42,128,0.7861592336227163,0.8065950570843312,0.4325494170188904,0.014438812066804987,0.13898220658302307,1120
