only,win,seed,n_feat,auc3,auc1,ll,ece,brier,trees
ローテーション,W2,42,2,0.520548064963205,0.5214491032563674,0.5303555727005005,0.018379046259534355,0.17130187153816223,181
血統,W1,7,3,0.5915692164876678,0.6169514471916252,0.5361955165863037,0.013722349329519531,0.17388670146465302,1393
ローテーション,W2,7,2,0.5214360143530195,0.5219530861687226,0.5303248763084412,0.02032490095806829,0.17128725349903107,171
ローテーション,W2,2026,2,0.5207565784517584,0.5207475515114545,0.5301328897476196,0.017885630810978756,0.1712864339351654,169
ローテーション,W3,42,2,0.5299352795567563,0.525322343680958,0.5169629454612732,0.01815281806678497,0.167515829205513,141
ローテーション,W3,7,2,0.529763735186235,0.5253396837653642,0.5170286297798157,0.013974212658059705,0.16752874851226807,152
ローテーション,W3,2026,2,0.5294054330300697,0.5245991530278213,0.517084538936615,0.01703267526869562,0.16755300760269165,153
枠順,W1,42,1,0.5177685271830187,0.5147748658220553,0.5393866300582886,0.023762331198594878,0.17701539397239685,122
枠順,W1,2026,1,0.5154871310119913,0.5129269244179052,0.5394110083580017,0.023776150141968894,0.17702312767505646,175
枠順,W1,7,1,0.5133943809253022,0.5129779823796511,0.538962185382843,0.01914933133133129,0.1768527626991272,247
枠順,W2,42,1,0.5221778554955022,0.5237322646965795,0.5231531262397766,0.006211884972750281,0.16995561122894287,236
枠順,W2,7,1,0.519952425071394,0.5217513988673504,0.523097038269043,0.007406379158626064,0.16993975639343262,141
枠順,W2,2026,1,0.5216824732043427,0.5238813532676638,0.5227910876274109,0.005987417959468428,0.16981148719787598,257
枠順,W3,2026,1,0.5179307027510434,0.5103947136751907,0.518398106098175,0.010031605432012106,0.16789299249649048,282
枠順,W3,42,1,0.5184391837292192,0.5134926470766558,0.5186446309089661,0.010331023424573295,0.16798406839370728,463
枠順,W3,7,1,0.5196558277204257,0.513481127440162,0.5185675024986267,0.009464078131605212,0.1679503172636032,430
