feat,spread_ex,spread_cf,hi_cf,lo_cf,rho,nbin
f_late_speed,2.4435900615347674,1.8795173720256282,0.5569238348185874,-1.3225935372070408,0.5878787878787878,10
cl_f_style_course_fit_rank,2.7524771841556555,1.8106283397316336,0.3681981639402083,-1.4424301757914253,0.22424242424242422,10
f_speed_fig_last,3.9547814948315536,1.659190271176342,0.5427838783149024,-1.1164063928614396,0.19999999999999998,10
cl_f_pace_fit_rank,1.7612722349201935,1.6411007295287428,0.22644602959794874,-1.414654699930794,-0.0303030303030303,10
f_pace_prob_slow,0.6730246273087293,1.6373283145482946,0.5333884379818159,-1.1039398765664787,0.4787878787878787,10
f_finish_time_avg,1.449005762028724,1.6271779624063052,0.6113177478029657,-1.0158602146033395,0.06666666666666665,10
cl_f_style_total_fit_rank,1.8733796585270963,1.6109309868303534,0.36558832808888003,-1.2453426587414733,0.10303030303030303,10
f_course_fit_score,1.3587456407881269,1.6075053952143077,0.6894613918636213,-0.9180440033506863,0.406060606060606,10
cl_f_style_course_fit_vs_field,1.1943669959154013,1.521473164681042,0.2963034606484781,-1.2251697040325638,0.13939393939393938,10
f_stamina_score,3.337738370249488,1.2554544954725995,0.11995136770007417,-1.1355031277725254,0.21428571428571433,7
f_course_speed_demand,0.5025597333841303,1.1965631982136369,0.14804423563363617,-1.0485189625800007,0.01818181818181818,10
f_course_stamina_demand,0.4810766856658372,1.1337749750058612,0.14000079076185382,-0.9937741842440074,-0.006060606060606061,10
f_course_hill_diff,0.4810766856658372,1.1337749750058612,0.14000079076185382,-0.9937741842440074,-0.006060606060606061,10
f_pace_prob_fast,0.9760271164276879,0.8292670429196684,0.0453235179252912,-0.7839435249943771,-0.13939393939393938,10
f_class_level,1.6855884191904644,0.8202297623732386,0.10702600738222992,-0.7132037549910087,-0.10714285714285716,7
