win,period,race_id,field,p1,top3sum,resid,n_eff,ax_hit,top3_hits,rand3,cut5,cut10,cut15,cut20
T3,探索,20251109_08_09,8,0.82298136,2.1475167,1.065961,5.386403,1,2,1.125,1,2,2,2
T3,探索,20251109_08_10,12,0.74675983,1.6584836,1.208319,7.0232706,0,1,0.75,0,3,6,6
T3,探索,20251109_08_11,14,0.6099047,1.4358028,1.4412271,8.621131,1,3,0.6428571428571429,1,3,7,8
T3,探索,20251109_08_12,17,0.7115462,1.4690516,1.9667581,9.742568,0,1,0.5294117647058824,2,6,8,8
T3,探索,20251115_03_01,15,0.7097373,1.8366106,1.2225639,6.969891,1,2,0.6,2,8,9,11
T3,探索,20251115_03_02,8,0.74675983,1.2596037,0.54847705,4.1974874,0,1,1.125,1,3,3,4
T3,探索,20251115_03_03,16,0.74675983,1.361419,1.5413477,8.539159,1,1,0.5625,1,6,10,11
T3,探索,20251115_03_04,16,0.6646564,1.5936831,1.8583903,9.710209,1,2,0.5625,2,5,8,9
T3,探索,20251115_03_05,16,0.46875802,1.0977492,1.9490619,11.642762,0,2,0.5625,0,5,7,8
T3,探索,20251115_03_06,16,0.6719981,1.2531493,1.8750224,9.959801,1,3,0.5625,1,4,7,8
T3,探索,20251115_03_07,16,0.29091024,0.815659,1.9696126,12.590506,0,1,0.5625,1,5,6,7
T3,探索,20251115_03_08,14,0.7205231,1.6702904,1.4169759,7.626513,0,1,0.6428571428571429,2,5,8,8
T3,探索,20251115_03_09,16,0.62088144,1.3216357,1.7174073,9.49368,1,2,0.5625,3,6,9,10
T3,探索,20251115_03_10,15,0.47692016,1.2721139,1.6185366,9.740549,0,0,0.6,2,5,7,9
T3,探索,20251115_03_11,16,0.6504629,1.4956387,1.4995856,8.461616,1,2,0.5625,3,6,11,11
T3,探索,20251115_03_12,16,0.6556917,1.1923451,1.601323,9.097737,0,0,0.5625,2,7,9,10
T3,探索,20251115_05_01,13,0.74675983,1.79076,1.2045404,6.4576874,1,1,0.6923076923076923,3,6,7,7
T3,探索,20251115_05_02,17,0.74675983,1.752028,1.6478225,8.466025,1,2,0.5294117647058824,3,8,10,10
T3,探索,20251115_05_03,14,0.74675983,1.6842759,1.0702515,6.3638587,1,2,0.6428571428571429,3,7,9,9
T3,探索,20251115_05_04,13,0.74675983,2.0242612,1.4477547,6.798319,0,1,0.6923076923076923,1,5,8,9
T3,探索,20251115_05_05,10,0.74675983,1.8431274,1.2754403,6.4999347,1,3,0.9,0,2,4,4
T3,探索,20251115_05_06,14,0.67394614,1.4142334,1.7575138,9.192329,1,2,0.6428571428571429,0,4,4,6
T3,探索,20251115_05_07,16,0.67394614,1.6752915,1.5218619,8.088907,1,3,0.5625,3,8,9,9
T3,探索,20251115_05_09,16,0.67632705,1.4579095,1.3504523,8.078689,1,2,0.5625,2,7,10,11
T3,探索,20251115_05_10,18,0.46875802,1.1124574,1.8437314,11.306529,1,2,0.5,2,8,10,11
T3,探索,20251115_05_11,16,0.65884596,1.4073794,1.6751854,9.288948,1,3,0.5625,3,5,8,9
T3,探索,20251115_05_12,13,0.74675983,1.6369185,1.8377371,8.366666,1,1,0.6923076923076923,1,4,4,5
T3,探索,20251115_08_01,11,0.6556917,1.9099194,1.7688107,7.094499,1,2,0.8181818181818182,2,4,4,4
T3,探索,20251115_08_02,11,0.82586735,1.8211831,1.221886,6.4047923,1,2,0.8181818181818182,0,3,3,5
T3,探索,20251115_08_03,10,0.67394614,1.8109784,1.3084931,6.646066,1,2,0.9,0,2,4,5
T3,探索,20251115_08_04,12,0.7944562,2.2533343,1.1657008,5.794943,1,2,0.75,3,6,6,7
T3,探索,20251115_08_05,18,0.46875802,1.2391366,2.139897,12.473125,1,2,0.5,0,6,10,12
T3,探索,20251115_08_06,16,0.46026874,1.3681114,1.9840611,11.175629,1,1,0.5625,0,5,8,9
